author,date,text
Sujit_K_Pradhan,2020-02-29 05:10:00,"b'RT @socioskp: \'Language-Odia\' will be in the ""Google-Search-Engine"".\n@socioskp @Sujit_K_Pradhan @BJP4Odisha @BJP4India @airnewsalerts @DDNe\xe2\x80\xa6'"
SOLANKIPKJAAT,2020-02-29 05:10:00,"b'RT @ipumrao: Bangladeshi student Afsara Meem studying at Visva Bharati University, who participated in Kolkata anti CAA protests &amp; seen wit\xe2\x80\xa6'"
FairuzFarhana3,2020-02-29 05:10:00,b'RT @gotthesin: and Muslims still the terrorists they said'
Abilash48254902,2020-02-29 05:10:00,b'@BCCI As of now any one can perform in India curmastances jut not VIRAT'
KandarpaAruna,2020-02-29 05:10:00,"b'RT @amitmalviya: In April 2019, an ISIS suspect identified as Mohd Faiz, was arrested from Jafrabad in Delhi. Again in Jan 2020, the Specia\xe2\x80\xa6'"
TheQuint,2020-02-29 05:09:57,b'Students from Gurucharan College in Assam\xe2\x80\x99s Silchar have registered an FIR against a guest professor for allegedly\xe2\x80\xa6 https://t.co/onaoTIDtgs'
bvinay55,2020-02-29 05:10:00,b'RT @davidfrawleyved: Anti-CAA logic: Oppressed Hindu migrants from Pakistan who come in legally should receive no special help. Muslim migr\xe2\x80\xa6'
arunrai81,2020-02-29 05:10:01,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
supreeth28,2020-02-29 05:10:01,b'ROFL what a weirdo \xf0\x9f\x98\x82'
Satyend34286917,2020-02-29 05:10:01,"b'RT @DMsnuverma: #Who_Is_WorldLeader \nUnder the leadership of Sant Rampal Ji Maharaj, Hindustan (India) will be Established as the World Rel\xe2\x80\xa6'"
RaginiMohite,2020-02-29 05:10:01,"b""RT @RMBT_tweets: How come we are not talking about Twitter India's role in Delhi pogrom? Despite many of us reporting communal handles that\xe2\x80\xa6"""
MitziFetch,2020-02-29 05:10:01,"b'RT @jewish_activist: A Jewish ethnic group whose ancestors settled in areas around Cochin, India https://t.co/uzf12A2H7O'"
JAK22N,2020-02-29 05:10:01,"b'RT @amitmalviya: In April 2019, an ISIS suspect identified as Mohd Faiz, was arrested from Jafrabad in Delhi. Again in Jan 2020, the Specia\xe2\x80\xa6'"
iarakhan,2020-02-29 05:10:01,"b'RT @ashoswai: In New India, a Muslim must surrender himself to die when a Hindutva mob comes attacking. If he resists and tries to survive,\xe2\x80\xa6'"
Ladaku_Viman,2020-02-29 05:10:01,"b""RT @AndColorPockeT: He is from Pune, requesting Pune folks to send the notice, don't let them go free."""
Ishita72578852,2020-02-29 05:10:01,"b'@ImSebastianMoy Please come to New Delhi, India\nThis summer'"
SUPRATI04307124,2020-02-29 05:10:01,b'https://t.co/0eUJMutAyt ( Total miss using SC/ST Atrocities Act law in India )'
skindo1,2020-02-29 05:10:01,b'@shivam_in @OfficeOfSA @MarkRuffalo @BernieSanders He is against terrorism and that what the current India PM Modi represent.'
buatanmuu,2020-02-29 05:10:02,"b'RT @arjunsethi81: If you haven\xe2\x80\x99t been following the latest out of India, this video tells you everything you need to know. \n\nA pogrom again\xe2\x80\xa6'"
